raw_id,lead_id,sales_exec,assigned_to_user_id_or_blank
762,5075,,
7935,5614,,
7934,5614,,
7936,5614,,
7937,5614,,
764,5075,,
15586,5614,,
767,5075,,
766,5203,,
768,5204,,
769,5205,,
770,5075,,
15587,5614,,
778,5075,,
15588,5614,,
8002,5614,,
15589,5614,,
8973,5122,,
786,5075,,
795,5075,,
15590,5614,,
247,5122,,
788,5075,,
789,5075,,
794,5075,,
793,5210,,
7610,5614,,
15591,5614,,
252,5127,,
509,5127,,
805,5211,,
802,5075,,
803,5075,,
7770,5614,,
8980,5075,,
806,5075,,
809,5075,,
810,5075,,
811,5212,,
813,5214,,
814,5215,,
812,5213,,
15592,5614,,
815,5075,,
817,5216,,
8984,5075,,
15593,5614,,
8982,5129,,
8983,5075,,
833,5075,,
834,5075,,
823,5219,,
822,5218,,
824,5075,,
832,5220,,
8985,5132,,
15594,5614,,
835,5221,,
15595,5614,,
8988,5129,,
842,5222,,
8987,5131,,
853,5075,,
865,5231,,
844,5226,,
852,5227,,
854,5075,,
5551,5075,,
15596,5614,,
520,5132,,
15597,5614,,
850,5075,,
15598,5614,,
855,5228,,
860,5075,,
861,5229,,
864,5230,,
8991,5133,,
15599,5614,,
8011,5614,,
15600,5614,,
872,5075,,
8198,5614,,
878,5235,,
897,5075,,
876,5075,,
877,5234,,
15601,5614,,
881,5075,,
885,5238,,
15602,5614,,
15603,5614,,
887,5240,,
889,5075,,
890,5075,,
895,5246,,
892,5243,,
898,5075,,
15605,5614,,
15606,5614,,
912,5252,,
913,5253,,
9005,5075,,
916,5255,,
15607,5614,,
917,5256,,
535,5075,,
915,5254,,
15608,5614,,
537,5075,,
9008,5075,,
925,5262,,
7787,5614,,
9007,5134,,
927,5075,,
926,5075,,
928,5075,,
936,5075,,
934,5075,,
935,5267,,
15609,5614,,
540,5075,,
9010,5135,,
15610,5614,,
9012,5075,,
944,5270,,
945,5075,,
946,5075,,
15432,5614,,
543,5075,,
15611,5614,,
548,5491,,
15612,5614,,
955,5075,,
9019,5075,,
959,5075,,
962,5075,,
961,5075,,
15613,5614,,
964,5276,,
551,5075,,
965,5075,,
967,5277,,
970,5075,,
15614,5614,,
9025,5138,,
977,5075,,
978,5283,,
15615,5614,,
9024,5075,,
9027,5148,,
979,5075,,
982,5285,,
981,5284,,
15616,5614,,
9028,5140,,
9030,5142,,
8371,5614,,
9029,5141,,
1971,5075,,
561,5142,,
993,5289,,
994,5075,,
15617,5614,,
9031,5143,,
9032,5144,,
1005,5075,,
15618,5614,,
1006,5290,,
8396,5246,,
1008,5292,,
15619,5614,,
15620,5614,,
1010,5292,,
1012,5295,,
1013,5296,,
1015,5256,,
15621,5614,,
15622,5614,,
15623,5614,,
1026,5075,,
9042,5140,,
1028,5300,,
1030,5301,,
1031,5302,,
11750,5099,,
1029,5075,,
1034,5304,,
15624,5614,,
573,5140,,
9043,5148,,
150,5075,,
8876,5075,,
11751,5075,,
15625,5614,,
1035,5075,,
1042,5075,,
15626,5614,,
15627,5614,,
11752,5104,,
1044,5075,,
1045,5310,,
9049,5150,,
1048,5312,,
1050,5314,,
1636,5075,,
1052,5315,,
1054,5317,,
15628,5614,,
1055,5318,,
1059,5075,,
1063,5075,,
8435,5614,,
1095,5256,,
11754,5100,,
9050,5075,,
9052,5151,,
15433,5614,,
9051,5075,,
585,5075,,
15629,5614,,
15630,5614,,
9053,5152,,
1081,5325,,
1080,5075,,
1105,5075,,
1083,5327,,
11757,5075,,
9057,5154,,
1085,5329,,
1086,5075,,
11758,5101,,
9062,5151,,
1106,5075,,
1107,5338,,
415,5102,,
11759,5102,,
1108,5075,,
1110,5339,,
1111,5340,,
15434,5614,,
11760,5075,,
1112,5075,,
9063,5153,,
9066,5156,,
1114,5342,,
9065,5155,,
1115,5075,,
1632,5075,,
1802,5075,,
1803,5075,,
1130,5348,,
15634,5614,,
1129,5348,,
9071,5075,,
1131,5349,,
1133,5351,,
419,5103,,
1134,5352,,
9073,5157,,
1135,5075,,
1137,5075,,
11763,5103,,
9072,5075,,
606,5075,,
1139,5354,,
1140,5328,,
9077,5159,,
1143,5356,,
1146,5075,,
1147,5358,,
614,5075,,
9085,5075,,
1166,5359,,
9084,5075,,
1169,5075,,
1170,5075,,
5554,5075,,
1173,5364,,
1195,5075,,
1171,5362,,
1172,5363,,
1178,5075,,
1177,5368,,
15435,5614,,
9088,5160,,
9090,5161,,
168,5102,,
9089,5075,,
1187,5374,,
1184,5372,,
425,5102,,
1185,5373,,
1186,5075,,
11769,5102,,
9091,5162,,
1200,5379,,
11770,5103,,
1198,5378,,
1199,5196,,
1197,5377,,
9094,5075,,
1201,5380,,
1202,5075,,
1205,5382,,
427,5075,,
11771,5075,,
1215,5385,,
8897,5100,,
11772,5100,,
1216,5075,,
1221,5388,,
3951,5100,,
9100,5075,,
1226,5075,,
8503,5614,,
1227,5075,,
1228,5075,,
1231,5342,,
11773,5104,,
15436,5614,,
11774,5075,,
1248,5392,,
1238,5389,,
1247,5391,,
11775,5099,,
8901,5105,,
9105,5075,,
11776,5105,,
1249,5075,,
1251,5075,,
1252,5075,,
9106,5075,,
9107,5075,,
1258,5393,,
1957,5075,,
1260,5394,,
1259,5075,,
11777,5075,,
1267,5396,,
1268,5397,,
8903,5075,,
1270,5075,,
11778,5075,,
9109,5164,,
9111,5165,,
178,5075,,
9110,5075,,
11779,5075,,
643,5166,,
1281,5075,,
11780,5075,,
9114,5167,,
1285,5075,,
3959,5075,,
1286,5400,,
7615,5614,,
11781,5106,,
9115,5075,,
9118,5169,,
15656,5614,,
9117,5075,,
11782,5107,,
1299,5402,,
15657,5614,,
11783,5108,,
9119,5170,,
1300,5075,,
1303,5404,,
15658,5614,,
1304,5075,,
1306,5406,,
1307,5407,,
1308,5075,,
11785,5110,,
15659,5614,,
1311,5409,,
442,5075,,
1312,5075,,
15660,5614,,
1314,5075,,
1316,5076,,
11786,5075,,
1315,5411,,
2109,5075,,
1318,5075,,
1320,5413,,
1319,5075,,
1327,5419,,
2110,5075,,
1325,5075,,
11787,5111,,
1324,5417,,
1321,5414,,
15662,5614,,
1329,5421,,
1331,5075,,
1333,5424,,
1335,5425,,
1336,5426,,
9129,5075,,
1337,5075,,
9130,5075,,
15663,5614,,
9132,5174,,
1342,5075,,
1344,5075,,
15664,5614,,
9134,5075,,
1346,5428,,
1353,5431,,
1354,5432,,
7843,5614,,
1355,5433,,
1357,5075,,
9136,5075,,
9138,5075,,
15665,5614,,
1362,5075,,
9137,5175,,
15666,5614,,
1363,5075,,
669,5075,,
15667,5614,,
15668,5614,,
1370,5437,,
1372,5075,,
1373,5439,,
1374,5440,,
1375,5075,,
7847,5614,,
1385,5443,,
1393,5075,,
1384,5442,,
1383,5075,,
15669,5614,,
1390,5075,,
15670,5614,,
1395,5075,,
9147,5075,,
1401,5447,,
15437,5614,,
15671,5614,,
1404,5448,,
1405,5075,,
15672,5614,,
1406,5075,,
1407,5075,,
1408,5075,,
15673,5614,,
15674,5614,,
15675,5614,,
11799,5107,,
9154,5177,,
1420,5075,,
3978,5107,,
1418,5449,,
9153,5075,,
15676,5614,,
1423,5075,,
685,5177,,
9155,5075,,
7855,5614,,
11800,5075,,
1425,5453,,
1426,5454,,
1433,5455,,
11801,5075,,
1434,5456,,
1436,5075,,
1435,5457,,
9160,5075,,
9163,5075,,
11802,5075,,
1438,5075,,
1441,5460,,
15677,5614,,
9162,5180,,
1439,5075,,
8928,5075,,
15678,5614,,
15679,5614,,
11803,5075,,
1453,5075,,
15680,5614,,
1451,5075,,
8929,5114,,
1455,5462,,
1457,5463,,
11804,5114,,
9167,5075,,
1459,5075,,
1462,5075,,
15438,5614,,
11805,5075,,
1461,5075,,
15681,5614,,
9171,5181,,
1463,5465,,
462,5115,,
11806,5115,,
15682,5614,,
703,5075,,
15683,5614,,
8932,5075,,
9174,5182,,
1474,5467,,
11807,5075,,
9176,5183,,
1478,5469,,
9175,5075,,
1488,5075,,
1490,5473,,
707,5183,,
1480,5075,,
1481,5470,,
1479,5075,,
11808,5116,,
15684,5614,,
1482,5471,,
8934,5075,,
11809,5075,,
15685,5614,,
209,5117,,
15686,5614,,
8935,5117,,
11810,5117,,
9182,5075,,
1500,5476,,
1527,5075,,
15687,5614,,
1526,5075,,
15688,5614,,
1514,5075,,
9184,5075,,
15689,5614,,
1520,5479,,
8937,5119,,
15690,5614,,
1522,5481,,
11812,5119,,
1523,5482,,
1521,5480,,
9191,5285,,
1533,5479,,
15691,5614,,
15692,5614,,
9192,5187,,
1535,5482,,
1537,5075,,
1539,5484,,
1540,5075,,
1538,5476,,
15693,5614,,
9196,5075,,
1541,5485,,
1542,5486,,
15694,5614,,
9197,5193,,
1565,5075,,
1567,5491,,
1553,5476,,
15695,5614,,
1559,5487,,
8570,5614,,
1560,5488,,
15697,5614,,
1562,5075,,
1568,5492,,
1570,5075,,
15698,5614,,
1574,5494,,
15699,5614,,
1576,5495,,
1583,5497,,
15700,5614,,
1585,5075,,
1587,5075,,
9210,5192,,
15701,5614,,
9212,5194,,
1588,5075,,
9211,5193,,
15702,5614,,
744,5075,,
1597,5075,,
1598,5075,,
9213,5075,,
9214,5075,,
9216,5196,,
1600,5075,,
1602,5075,,
1603,5075,,
1601,5499,,
9215,5195,,
15703,5614,,
1604,5075,,
9219,5199,,
15439,5614,,
11823,5075,,
4002,5075,,
1626,5075,,
1627,5503,,
1617,5501,,
1628,5075,,
1616,5500,,
1618,5502,,
480,5075,,
8949,5075,,
11824,5075,,
1629,5075,,
1631,5075,,
1639,5507,,
1640,5508,,
11825,5075,,
1641,5478,,
1644,5075,,
15440,5614,,
11826,5075,,
1642,5075,,
1646,5075,,
8953,5075,,
1656,5075,,
1655,5075,,
15709,5614,,
1657,5509,,
1659,5075,,
4007,5075,,
11828,5075,,
1661,5075,,
1663,5075,,
9231,5075,,
15710,5614,,
9233,5075,,
228,5075,,
485,5075,,
15711,5256,,
11829,5075,,
15712,5614,,
9236,5075,,
486,5075,,
9235,5203,,
15713,5614,,
9238,5205,,
8955,5075,,
11830,5075,,
15714,5614,,
9240,5206,,
1683,5075,,
4009,5075,,
1684,5075,,
8956,5122,,
1687,5511,,
15441,5614,,
11831,5122,,
4294,5206,,
1689,5075,,
1691,5512,,
7893,5614,,
231,5075,,
1696,5075,,
8957,5075,,
1695,5075,,
11832,5075,,
15715,5614,,
1698,5075,,
15716,5614,,
777,5075,,
11833,5075,,
1704,5075,,
7895,5614,,
9247,5075,,
1703,5514,,
2181,5075,,
15717,5614,,
2182,5075,,
1712,5075,,
1709,5075,,
1710,5075,,
1711,5516,,
1714,5075,,
15719,5614,,
1719,5517,,
2264,5075,,
11835,5075,,
1721,5518,,
7620,5614,,
492,5124,,
9256,5075,,
1734,5075,,
11836,5124,,
1736,5519,,
1737,5075,,
787,5075,,
9257,5075,,
9258,5075,,
9263,5075,,
9262,5210,,
1749,5075,,
15723,5614,,
1754,5521,,
1752,5075,,
15724,5274,,
15725,5614,,
1757,5522,,
15726,5614,,
1763,5075,,
15442,5614,,
9272,5075,,
9271,5075,,
1778,5527,,
9274,5211,,
1779,5075,,
1780,5075,,
1782,5075,,
1783,5075,,
1781,5075,,
9275,5075,,
1784,5075,,
15730,5614,,
1786,5075,,
9279,5075,,
1788,5529,,
1790,5075,,
1791,5075,,
1789,5075,,
15731,5614,,
1792,5075,,
1794,5075,,
8972,5075,,
9280,5212,,
11847,5075,,
15732,5614,,
9281,5213,,
9282,5214,,
4027,5122,,
9284,5075,,
15733,5614,,
1804,5075,,
11848,5122,,
1806,5530,,
1809,5531,,
8974,5124,,
15734,5614,,
11849,5124,,
816,5075,,
1815,5075,,
9286,5216,,
1816,5532,,
1818,5534,,
1817,5533,,
15735,5614,,
9291,5218,,
1822,5075,,
9293,5075,,
1828,5075,,
1829,5536,,
15736,5614,,
1827,5535,,
9292,5219,,
1830,5075,,
1832,5537,,
1833,5075,,
1831,5075,,
1834,5075,,
1835,5538,,
15737,5614,,
8978,5127,,
1836,5075,,
11853,5127,,
15738,5614,,
1840,5075,,
1843,5075,,
15739,5614,,
11855,5075,,
1844,5075,,
9301,5220,,
1846,5075,,
1848,5075,,
8981,5133,,
1847,5540,,
15740,5614,,
9303,5075,,
4035,5133,,
1850,5541,,
11856,5133,,
1851,5075,,
9305,5222,,
15741,5225,,
513,5129,,
9304,5221,,
11857,5129,,
15443,5614,,
11858,5075,,
836,5222,,
15742,5614,,
4037,5075,,
15743,5614,,
9312,5225,,
1872,5544,,
1873,5545,,
11859,5075,,
1871,5075,,
1874,5075,,
1877,5075,,
11860,5132,,
9313,5226,,
1876,5075,,
15744,5614,,
517,5130,,
1878,5075,,
1880,5075,,
1881,5075,,
15745,5614,,
1885,5075,,
1882,5075,,
1884,5075,,
1886,5075,,
1888,5075,,
1889,5075,,
8986,5130,,
1887,5075,,
11861,5130,,
1890,5075,,
15746,5614,,
9318,5075,,
1907,5075,,
1908,5075,,
1909,5075,,
1708,5075,,
11862,5131,,
9320,5075,,
9322,5075,,
15747,5614,,
4041,5131,,
9321,5227,,
11863,5129,,
9324,5228,,
1910,5075,,
1913,5075,,
9323,5075,,
1912,5075,,
15748,5614,,
1924,5075,,
1925,5075,,
1926,5075,,
1916,5075,,
263,5132,,
1923,5075,,
8989,5132,,
11864,5132,,
1922,5075,,
8990,5130,,
9329,5075,,
11865,5130,,
15750,5614,,
1937,5075,,
4045,5133,,
11866,5133,,
522,5133,,
9333,5230,,
1940,5075,,
15751,5614,,
1942,5075,,
1951,5075,,
15444,5614,,
1950,5075,,
1954,5075,,
1955,5075,,
15752,5614,,
1953,5075,,
15753,5614,,
9340,5232,,
15754,5614,,
9343,5075,,
9342,5233,,
1972,5075,,
1973,5075,,
874,5075,,
9346,5234,,
1975,5075,,
15445,5614,,
9345,5075,,
15755,5614,,
4400,5234,,
1982,5075,,
1983,5075,,
15756,5614,,
4401,5235,,
1985,5075,,
1986,5075,,
1987,5075,,
15757,5614,,
1994,5075,,
15758,5614,,
1997,5547,,
9355,5239,,
1999,5075,,
2002,5075,,
2001,5075,,
9357,5241,,
9356,5240,,
9359,5075,,
9358,5075,,
9361,5243,,
9004,5075,,
11879,5075,,
15761,5614,,
893,5244,,
9364,5246,,
2022,5075,,
11880,5075,,
15763,5614,,
9366,5075,,
2023,5075,,
9006,5075,,
11881,5075,,
2030,5075,,
9367,5075,,
2029,5075,,
15764,5614,,
538,5134,,
2031,5075,,
2034,5075,,
11882,5134,,
7624,5614,,
11883,5075,,
15765,5614,,
9009,5075,,
11884,5075,,
2043,5075,,
4063,5075,,
2044,5075,,
11885,5135,,
15768,5246,,
2052,5075,,
9011,5075,,
2053,5075,,
2054,5075,,
11886,5075,,
2055,5106,,
2058,5075,,
2057,5075,,
11887,5075,,
15769,5246,,
9382,5253,,
9381,5252,,
914,5075,,
9384,5254,,
2080,5075,,
2076,5075,,
2077,5075,,
2078,5075,,
2079,5075,,
2081,5075,,
15773,5614,,
9385,5255,,
9386,5256,,
15774,5614,,
15775,5614,,
2087,5075,,
2091,5386,,
919,5258,,
2092,5075,,
2089,5075,,
2090,5075,,
15776,5614,,
9017,5491,,
2093,5075,,
11892,5491,,
15777,5614,,
9391,5260,,
4071,5491,,
15446,5614,,
11894,5075,,
922,5260,,
2107,5075,,
2108,5075,,
15778,5614,,
2106,5075,,
9020,5075,,
9395,5075,,
2111,5075,,
2114,5075,,
11895,5075,,
2113,5075,,
9397,5075,,
9396,5075,,
2125,5075,,
2126,5075,,
15779,5614,,
15780,5614,,
2127,5075,,
2130,5075,,
9403,5075,,
2131,5075,,
2134,5075,,
15781,5614,,
9405,5075,,
9404,5267,,
11899,5075,,
15782,5614,,
15783,5614,,
2145,5075,,
11900,5138,,
2151,5075,,
2146,5075,,
2147,5075,,
2149,5075,,
2150,5075,,
2148,5075,,
15784,5614,,
2152,5075,,
9414,5075,,
15785,5614,,
2156,5075,,
4081,5148,,
9413,5270,,
11902,5148,,
2160,5075,,
2163,5075,,
9415,5075,,
11903,5140,,
