lead_id,raw_rows_count
5263,4
5395,4
5338,4
5539,4
5349,4
5520,4
5298,4
5378,4
5401,4
5327,4
5507,4
5190,4
5405,4
5249,4
5577,4
5527,4
5463,4
5211,4
5296,4
5183,4
5315,4
5475,4
5339,4
5398,4
5156,4
5581,4
5566,4
5157,4
5597,4
5326,4
5299,4
5152,4
5409,4
5252,4
5202,4
5506,4
5375,4
5304,4
5248,4
5623,4
5371,4
5389,4
5528,4
5495,4
5283,4
5385,4
5579,4
5551,4
5167,4
5470,4
5407,4
5212,4
5481,4
5422,4
5555,4
5509,4
5364,4
5180,4
5453,4
5465,4
5393,4
5318,4
5522,4
5289,4
5399,4
5370,4
5277,4
5444,4
5403,4
5282,4
5563,4
5488,4
5254,4
5510,4
5544,4
5429,4
5521,4
5432,4
5545,4
5205,4
5573,4
5317,4
5182,4
5286,4
5284,4
5585,4
5199,4
5511,4
5243,4
5598,4
5250,4
5163,4
5164,4
5394,4
5460,4
5161,4
5529,4
5599,4
5379,4
5537,4
5340,4
5147,4
5160,4
5485,4
5355,4
5517,4
5535,4
5416,4
5415,4
5514,4
5400,4
5459,4
5341,4
5530,4
5262,4
5369,4
5605,4
5165,4
5170,4
5354,4
5534,4
5392,4
5186,4
5496,4
5366,4
5173,4
5357,4
5187,4
5445,4
5302,4
5301,4
5467,4
5576,4
5210,4
5552,4
5295,4
5142,4
5265,4
5425,4
5219,4
5538,4
5557,4
5426,4
5494,4
5504,4
5159,4
5143,4
5431,4
5531,4
5181,4
5154,4
5359,4
5216,4
5329,4
5548,4
5574,4
5331,4
5532,4
5244,4
5410,4
5306,4
5290,4
5294,4
5391,4
5503,4
5388,4
5310,4
5384,4
5420,4
5226,4
5192,4
5462,4
5203,4
5242,4
5434,4
5380,4
5562,4
5589,4
5217,4
5221,4
5428,4
5150,4
5204,4
5236,4
5358,4
5135,4
5499,4
5558,4
5502,4
5446,4
5523,4
5406,4
5440,4
5473,4
5238,4
5533,4
5227,4
5293,4
5215,4
5382,4
5515,4
5570,4
5174,4
5513,4
5260,4
5309,4
5362,4
5138,4
5223,4
5474,4
5536,4
5373,4
5275,4
5166,4
5300,4
5175,4
5490,4
5347,4
5268,4
5561,4
5229,4
5325,4
5413,4
5390,4
5402,4
5195,4
5314,4
5239,4
5454,4
5489,4
5500,4
5519,4
5234,4
5313,4
5594,4
5264,4
5512,4
5471,4
5518,4
5455,4
5497,4
5541,4
5134,4
5344,4
5343,4
5584,4
5615,3
5613,3
5612,3
5611,3
5609,3
5617,3
5618,3
5616,3
5716,2
5700,2
5698,2
5622,2
5639,2
5720,2
5710,2
5628,2
5645,2
5642,2
5718,2
5640,2
5652,2
5619,2
5653,2
5678,2
5674,2
5684,2
5707,2
5637,2
5625,2
5689,2
5660,2
5705,2
5662,2
5692,2
5651,2
5724,2
5621,2
5723,2
5683,2
5715,2
5648,2
5647,2
5658,2
5629,2
5686,2
5630,2
5709,2
5670,2
5721,2
5632,2
5695,2
5654,2
5666,2
5677,2
5661,2
5701,2
5641,2
5643,2
5635,2
5691,2
5696,2
5663,2
5685,2
5664,2
5624,2
5633,2
5638,2
5669,2
5646,2
5675,2
5712,2
5690,2
5708,2
5693,2
5672,2
5631,2
5703,2
5667,2
5681,2
5704,2
5706,2
5649,2
5726,2
5655,2
5694,2
5650,2
5657,2
5676,2
5688,2
5728,2
5722,2
5636,2
5671,2
5687,2
5697,2
5682,2
5656,2
5699,2
5702,2
5673,2
5713,2
5714,2
5626,2
5679,2
5711,2
5680,2
5717,2
5725,2
5659,2
5668,2
5644,2
5634,2
5719,2
5727,2
5665,2
